"Milkshake.  John was bored so he went to the store to buy milk. As he walked down the street he heard a car in the distance. The car revved at him and he got into a fight with it. John called his mom and they got back on the road. John was happy to have finally gotten his milk."
"Vintage toy.  Tom wanted to buy some vintage toys. He went to the store to pick out the perfect set. After searching for several days Tom finally settled on a classic Batman toy. Tom was disappointed in the toy. After looking over the toys he liked the one he picked."
"New Underwear.  Bob bought a new pair of underwear. He tried them on and loved them very much. He bought them in the morning and was excited to wear them to school. Bob did not like his new underwear anymore. His friends told him to stop wearing them."
"The Psychology of Grades.  My dad was teaching math in a science class. During his lesson he showed the class his grade. My dad thought he was doing good. After that he was doing better than his peers. I started to worry about him."
"New Dog.  Gina was a little girl who always wanted a dog. Her parents couldn't afford a dog of their own. So she was offered a puppy. Her parents offered to take her to the pound and she loved it. Gina knew she would love her new dog."
"Music Band.  Ben loved listening to the radio. He would listen to all the music on his radio. One day, he heard a huge station with many songs on it. Ben went outside to find the song and went inside to see what it was. After hearing the song, Ben knew he really liked the band."
"The Concert.  The Jones family went to the music festival. They loved it and wanted to see all the bands. They went to the stage and saw the band perform. The concert was great. The Jones family was glad they went."
"Dinosaurs.  I saw my mother's dinosaur in the museum. I was sad that she had never seen it. The museum had a collection of dinosaurs and the museum had one. I walked down the hall and saw a lot of fossils. I laughed at all the dinosaur photos."
"Pickles.  The kids were playing outside. They were making pickles. My mom got a phone call. She said that she couldn't find a phone anywhere. I said that it's because they were playing in my neighborhood."
"Raking Leaves.  Tim had always wanted to know how to rake leaves. He practiced every day to get better at it. He grew many different kinds of leaves. He finally started practicing the leaves. Tim's new plant was perfect for his home."
"Dangerous Campfire.  Tina had a camping fire. She lit a fire. The fire began to go off. Tina lost her supplies. She had to buy a new one."
"Bianca Dyes Her Hair.  Bianca notices her hair is getting very long and gray. She decided to dye her hair purple. Bianca puts on a hat and brushes her hair. She heads outside for her favorite drink. Bianca is glad she chose a dye to dye her hair purple."
"Dancing.  Anna was at a dance with a nice girl. She asked her friend how to dance. She got very nervous. Anna decided to go to her friend's house instead. Anna's friend was pleased with her advice."
"Buying a New TV.  I went to the local electronics store and bought a new TV. I thought it looked good, but was it worth a lot? I didn't realize it was a DVD player. After looking at several reviews, I decided to just purchase a streaming TV. I ended up getting a decent quality streaming TV for the money."
"Deaf Kid.  My brother has a stroke. His favorite thing to do is play football with a stick. His friends think it makes him deaf. He is not sure which team they belong to. I guess I'm too young to do so."
"Race.  I wanted to race to win gold. I was really nervous. I was only one mile away and I was ready. I took my time and got it on the track. I won!"
"The Puppet Show.  The band's rehearsal for their new album went well. Everyone was excited to see the show. They had a great time playing with different puppet characters. At the end of the show, everyone was so happy. The fans knew what was going to happen next."
"New Hobby.  The man found something new. He needed a job. He took his wife shopping at the grocery store. He went to buy the new dress. He couldn't wait for her to see it."
"No Jumping.  I had to jump for my friends to eat lunch. My friends were very upset. It was almost 2 hours. I wanted to keep the rest of the sandwich. I ran after them."
"Comparison.  It was Kelly's birthday. She decided to make a list. She chose what kind of cake to make. Then she filled her bowl with the cake mix. Finally, she added the icing to her cake."
"seafood.  Tom loved seafood. He decided to go to the store to purchase some seafood. Tom looked through the menus. He went home and made his own seafood. He loved the dish and decided to order it again."
"Burritos.  I was hungry so I went to the market to buy a bag of burritos. I looked up the market prices of the burritos and bought them. I took my bag to the store and got everything I needed. When I got home I looked at my wallet and the bag was empty. I had to ask someone in the office if there was money in my wallet."
"Spinach.  Sally went to the store. She asked the employee what she should buy. She decided on spinach. She went home and gave it to the store employee. Her store employee was surprised by it."
"Exercising.  I took my dog for a walk. He sat up and crossed my legs in front of me. I jumped on top of him in a funny manner. However, I got hit with a rock. I was scared that it was him."
"New Year's Resolution.  Tom was going to celebrate his 21st birthday. He put on his best suit and put on his favorite shoes. It was a chilly December afternoon and he wasn't able to get warm shoes. Tom went to the grocery store to buy warm shoes. He had his new shoes in a few hours."
"John Buys An Umbrella.  John wanted to take a trip. He found a great location that would be ideal. John drove up to the location. He went down to the store. John purchased a new umbrella."
"Embarrassing Mistake.  Kelly has a crush on a girl. The girls would talk all day about Kelly. One day Kelly gets really sick. She goes to the doctors to get a shot. Kelly is scared but proud that her crush was willing to talk about her."
"Greenery.  The man went to the mall. He found a new wardrobe for his wife. He bought her a new dress. He put it on and walked outside. He then noticed some green flowers outside his door."
"The Weight Loss Expert.  My sister-in-law Lola went to the gym last week. Lola was going to start in the morning and work out. She took her time getting out of bed and eating. As she was walking to the gym, her heel slipped on the ice. She lost her weight by about 10 pounds."
"Library Book.  I just finished reading the library book. The first page was blank. The second page was filled with a list of the books. I ended up with 10 books that day. I will never let myself read the rest."
"Low Blood Sugar.  Susie was afraid to go to the doctor. She went into the ER with a large fever. She was immediately taken to the intensive care unit. She was told she had type 2 diabetes. She was diagnosed with hypothyroidism."
"Broken Nose.  Mike was driving his car one day. Suddenly, he started getting a terrible stinging pain in his nose. He realized he had broken the window. He called for a cab to get him and his wife out. Luckily, they were able to take Mike to the hospital."
"Eternal love.  Ana wanted to become a famous actress. Her mom said she could not go because she was poor. She told her mother that she needed to learn a lesson. Ana learned to trust her mom and stay out of trouble. Ana was happy to finally be part of Hollywood."
"Lost Phone.  I lost my phone. I had it sitting on the living room table. I tried calling my wife but she never answered. I drove back to the store to buy another one. Finally I found the phone and returned it."
"Eviction.  I have been evicted from my apartment and am moving back in. Last week, my apartment was in very bad shape. I am so frustrated and angry. I finally realized I should put my belongings up. I'll see what happens next."
"Thunder.  Allie had an important meeting with her boyfriend. She knew it would be the perfect time to meet him. She arrived at his place and asked him for directions. He told her to go to the hotel. Then she went with her dad and went home."
"Lost poncho.  Joe bought some gum for his birthday. When he opened the bag it was gone. Joe took out a piece. He took a piece out and looked everywhere. The bag was gone and Joe could not find it."
"Swim.  Tim was in a swimsuit and he was nervous. His friends made fun of him. Tim went into a pool. The water was warm and refreshing. Tim enjoyed the experience of swimming."
"Sticky.  Jim was sitting on his computer at work. He noticed the computer was stuck in some weird place. He tried to figure out what was wrong. When Jim pulled the power button on the computer, the computer kept booting. Jim quickly took to his phone to get a new one."
"Mother.  We're married to a man in a small town. He is 40 but lives in a town of over 12,000 people. We live in the city and have never been away from our family. Recently my brother said he wanted to retire and moved away. He is very sad that he is not there to support his family."
"ID.  Susie had never had a cat before. Susie took her son to the pet store. He came home from the pet store. He got his pet ID on his collar. Susie had a cat that had the same ID."
"The Inheritance.  Tina was very good at math. She had a classmate named Max who was also very smart. Tina's mother was having a lot of trouble keeping her company. Tina decided she would inherit Max's company. Tina was happy to do so because her parents gave her a great inheritance."
"Mike Drinks White Wine.  Mike is a retired dentist. Mike likes to eat white wine for the first time. Mike is so happy to have a healthy diet. Mike decides to try different wines. Mike feels more satisfied that he has started consuming white wine."
"Broken Bike.  John was on a bike ride with his parents. They were riding a bike with a big bump on the ground. They had a hard time getting to the other side. They made it to the other side without having any luck. Unfortunately they ended up crashing into each other."
"The Blind Date.  Sally had just got engaged. She was going to her first blind date. She was nervous to go but decided to go. She had a lot of fun. Sally had the best night of her life."
"The Stormy Day.  One day I took a trip to see my grandparents. I decided to stay in my parent's house for the whole trip. My parents helped me prepare. It turned out that my grandparents lived in Hawaii. My parents were very thankful for my visit."
"White Cast Christmas.  Every year on Christmas Eve, we go to the same church. In December the church is decorated with many different colors. I went to the church and they gave us their gifts. We put on the colors of the colors. I can not wait to see them in person!"
"The volleyball accident.  Jake was a volleyball player. He had to play on the volleyball court for one year. At the last game he was able to score a point! Jake didn't take a shot and scored a point. He went home disappointed."
"Turtle Fears.  Gina was always afraid of turtles. When she was in kindergarten, her class heard about the strange sound. Gina wanted to avoid contact with any turtle at all. Her parents took the threat seriously. They took Gina to school that day and the scary noises never went away."
"Shoelaces.  Tom had an eye infection in his eye. He was afraid that his glasses would get infected. Tom went to the eye doctor. The doctor prescribed a special pair of glasses. Tom's glasses came out pink."
"Easy mac disappointment.  I got a new laptop today. My wife and I ordered it the day before. After a couple of days, the laptop did not work. We ordered another one with a different name. Unfortunately, the person that got the new name was rude."
"Puppy Litter.  John needed to start a new business. He decided to get a puppy for his first day at work. At first he did not think the puppy was a good puppy. After a few weeks he realized it was a very good puppy. He gave it to a friend who loved it."
"Old Friend.  I went to a baseball game at my uncle's house yesterday. My uncle's team won by 2 runs. It was a close game and I made a homerun. I ran a ball in the stands and passed it to my brother. It hit the baseball hard and he ended up having to call the ambulance."
"The Easter Parade.  Bob went to the local Easter parlor. He noticed that a large crowd was coming. He put on a hat, but everyone else began to cry. He tried to cheer them up. Unfortunately, the whole thing turned into a bunch of giggling kids."
"No Littering.  A woman moved into a very nice house. She wanted the house to be a nice place. Her friend told her not to litter. She left the house in a hurry. Her friend said it was the worst house."
"Ham Sandwich.  Sam wanted to eat something different from his mother. His mother took him to the restaurant. Sam brought home the ham sandwich and sat down. After they ate the sandwich Sam was hungry. He decided he'd rather eat in the kitchen instead."
"Confession.  My brother-in-law's boss told him that his co-worker was drinking at work. My brother-in-law called him and said that she had left his house. I was able to call the boss to get him out. We talked about my brother-in-law's past and I learned a lot. I told the boss that I had a confession and left him a call."
"Janet.  Janet loved cats. She wanted to pet a cat. Her friends convinced her to go with them. Janet got the cats to go away. The cats were not happy."
"The fishing trip.  Sally and her father went fishing at the lake. Sally and her father got really into it. Sally was hooked up in the boat. They went and caught some fish. It was a wonderful trip."
"Rex Drinks Tea.  Rex is always thirsty. He decides to drink tea one afternoon. While drinking his tea he falls sick. Rex begins to feel ill. Rex decides to skip his tea every single evening."
"Scared Teddy.  Teddy had been bullied for years. He finally went to the bully's office. Teddy wasn't intimidated at all. He was so scared he cried himself to sleep. His parents knew he wasn't that scary after all!"
"Power Outage.  Tina was playing with a basketball. But she accidentally shot the ball. The ball hit the ground. Tina got all of the paint on her ankle. Tina didn't get to play."
"A new hobby.  My niece loves to paint her nails. She goes to a paint store with her friends to buy a nice paint kit. They all come home and paint her nails. She has a great idea and gets all of her paints done. She is very happy with her new hobby."
"Photo.  Janelle had been invited by her boyfriend to his birthday. She had to wait until 3 PM for her favorite photo to arrive. She spent two hours trying to gather all of the photos. When the photo finally arrived, it was taken by the photographer. Janelle was very sad and did not want to be late."
"The Deadline.  My friend Tim got a new house. He had been looking forward to it for a long time. Tim's landlord said he had a deadline for a new house. Tim was upset. He finally moved to a new house."
"Wine tasting.  I love wine. My friends and I decided to try a wine tasting. When we went the wine tasting, we were all excited. I had never tried a wine before. We went back to the bar and had a great time."
"The bed.  Kate's parents needed a new bed. They went to the furniture store to find one. They searched through the room but could not find anything. Kate's parents realized they were out of bed sheets. Kate's parents had to put the bed sheets down in the bathroom."
"The saxophone.  I got a new saxophone today. I was sad because I don't like the way my neck sounds. The instrument makes me uncomfortable. I could play the same way again. I was happy because it helped me focus and focus."
"The Farm.  The family decided to take a trip to a farm in Nebraska. They took their young son, Tom, who loved animals. When the trip arrived, the family and Tom got to see the animals. Tom's mother saw their little son's new farm and took him to it. After the visit, Tom and the other kids enjoyed fresh grass and fresh veggies!"
"Outside the Window.  Jane was outside playing in the woods. She was watching her favorite song. She heard some strange noise coming from the tree. She was afraid it was a squirrel. She went outside to investigate. She found it was a squirrel and caught it for good."
"Making it gluten free.  I wanted to make gluten free cookies for my family. I decided to use a bag of gluten free flour. I packed the dough and began to prepare the cookies. I dropped the flour and used a fork to make the cookies. When they were done, I placed them on the pan and placed them in the oven."
"The plane trip.  Kate and her mom went on a plane to New York City. They had a great time in New York. They visited every city except the airport. It was one of their favorite memories. They had a blast."
"Jen's Game.  Jen was about to turn 13 years old. She decided to go on a date with her cousin. Jen really wanted to impress her cousin, but she was worried about her appearance. She decided to wear a suit at the restaurant. Her cousin complimented her on her appearance."
"More Alone.  It had been an adventure, but she was very lonely. There had been an earthquake near her house. She was alone at a park and felt alone. Finally the earthquake came and she decided to go home. She had stayed in her apartment all day and had slept at a hotel."
"Theme park excitement.  When I was little, I wanted to ride a theme park ride. One day, we found our ticket and we took off. When we got home, we looked at all the rides. I really loved going to the theme park. Now, I go to Disney World every summer."
"Futsal.  Tina was in her cousin's wedding. Her cousin asked her if she wanted to be their maid. Tina was the only one allowed to. Tina felt bad for her. Tina's cousin left with a cake and her mom's shirt."
"Bluebirds.  Bob went to a birdwatching convention. He saw a hawk that had fallen in his field. Bob was shocked to see a bird with blue wings. Bob decided to purchase a special cage to keep the hawk from falling. Bob took the bird home that night."
"The Trip.  Amy and the family went on a vacation to California. It was a great trip and they all had a great time. Amy and her mom went to go to the movies. They took all the food and drinks and had a great time. They loved going on a vacation with them."
"Carnival Ride.  John went to the carnival with his mother. They got stuck at the carnival. They ran into a large wave. John was scared but luckily it didn't hurt too badly. John then had a good time."
"Lost Throughout the Process.  One day, I was taking my nephew to school. I noticed that he started acting weird and seemed to be in a lot of trouble. My nephew called me and he said that he was lost. I called my mother and her mother came out and looked at him."
"The Murderer.  In November 2014 we had a murder trial. The defendant was found guilty. The jury found the defendant guilty. I was very sad that I did not get to hear the verdict. My friend was so happy that I made a difference."
"Home Run.  Sam was playing on the big hill with his friends. He decided to run across it and then hit a home run. His ball hit the fence. He went home and told his parents about it. His parents laughed and gave him a home run as well."
"Greg Visits the Zoo.  Greg had never been to the zoo before. He was so excited he ran across the stage to see the animals. He was so happy he went in to check them out. He had a lot of fun learning about the zookeepers. At the end of the day, he was very satisfied with his experience."
"New Shoes.  Kia needed a new pair of shoes. Her mother bought her a new pair of shoes. Kia was very excited to wear them to school. Her mom couldn't wait for the new shoes to arrive. Kia was happy she finally had a new pair of shoes."
"Cole.  Cole was very unhappy. He was not happy that he got a raise. Cole had had to work two jobs to earn his paycheck. Cole found a job at an auto repair shop. Cole decided to find a better job."
"Shirley Temple Doll.  Shirley had a long list of princesses to choose from. She was finally able to choose a princess when she got home. She decided to wear a pink princess dress and a white princess costume. Luckily Shirley had a pretty pink dress to wear too. She was happy she finally had chosen a princess."
"Patty's Sleepover.  Patty is always tired of her boring work. She decided to surprise her boss with a sleepover. She invited all her friends. Patty had fun at the party and enjoyed the rest of the night. Patty got a new job at McDonald's."
"New Shears.  Gina's mother was a new mother. She had two young daughters. She didn't like having to help care for them all. She decided she would teach the daughters some classes. She made sure they were all good grades!"
"As I Sit Here.  I had a friend named Tony. We went to the local mall together in 2004. Tony was very active and happy to see us. He started a blog for fun and for laughs. I think we had a good time together."
"Going to School.  I was excited because my brother had to take his final exam. I got dressed and packed some snacks for school. After studying for the whole day I went to bed. At 3 AM my brother woke me up and I went to bed."
"Hit.  Kate wanted to go for a jog. She decided to stop at a gas station to buy some gas. She walked to the station to get her soda. Kate bought her soda and went home. When she got back she decided she was going to go on the next jog."
"The dog.  Bill and Tina had been together for six months. They were both sad about it. They didn't want the breakup to ruin them. But they decided to buy the dog. The dog was much happier with them and they were no longer sad."
"Fears.  Tom was trying to walk to school. Tom tripped and fell. He went to the doctor. The doctor checked Tom. Tom learned about his fear of heights."
"Driver.  Tom wanted a new car. He went to a dealership and looked for a good car. Tom found a great looking one that he liked. Tom drove it very hard at night. Tom loved it so much that he purchased it."
"Man's best friend.  I always wanted to go to the store. I had never gotten along with anyone and was worried about being alone. One day I asked if anyone was willing to buy me. Everyone turned me down and I was scared and upset. Then I remembered that I just wanted to go to the store."
"The First Birthday.  My son-in-law's son is five years old. He has been feeling very sick. Last week he took his favorite cup of coffee at his friend's house. I was very impressed with his performance. My son-in-law is very thankful for the gift."
"The fair.  Allie loved to go to the fair. She and her friends all went to the rides. It was fun and they all had a great time. It was a fun time for everyone. They all got together the next day."
"The Bison.  Bob and Jane lived in Montana. One day a Bison bit their fence. They took the animals to the park. The Bison were not scared of the Bison. Now they enjoy visiting the park."
"A Good Samaritan.  I met my friend today at an elementary school gym. I asked him if I could go with him to lunch with him. He said that it was very nice to meet me. We spent a couple of minutes talking. He apologized and said that he doesn't have anything to do now."
"Pictures.  My wife was in charge of our granddaughter's class photos. The photos were on a large tablet. She wanted us to put them up. She got the tablet off the floor. We gave her a big tip for having the tablet."
"Appendicitis.  Dan was in college and wanted to learn how to make a pencil. He researched and practiced on his own for a year. He made a pencil for himself and his wife. When the teacher handed him the pencil, Dan was so happy. Dan was so proud when he saw the pencil that day!"
"Money.  The man handed over the money to the bank. He said he would lend it back to him if he made his income. The banker told him he could not make his income. The man gave the money to the banker. The banker gave the money back to the man."
"Genre Disagreement.  Dan loved comic books. He got a copy of The Dark Knight. Dan thought the book was pretty good. Dan got a second copy. Dan ended up reading The Dark Knight 2."
"For a Five.  My sister and I went to the park. We took her to a pond. Then we took her to a big lake. Then we went out for coffee. I didn't realize we were on a lake."
"Sardines.  Allie loved her baby sardines. She loved them so much! But it got her stomach ache! Allie decided to stop using them. Allie then decided to stop eating them!"
"Too Curious.  She stood up on the swings. She asked all of the kids in the neighborhood to play. A friend started jumping and she ran after them. They started running. A boy named Tom jumped in a car in front of her. She had to help him out."
"The School Fight.  A bunch of kids were throwing rocks at the school's cafeteria. Some of them got too mad and threw rocks back. The kids all threw more rocks back at the cafeteria. The cafeteria was caught on tape and had to fire the kids. After they were out, the kids were punished."
"Video Game.  Anna loved games of all kinds. But she was not very good at making new ones. She decided to try video games on her laptop. Anna played many new games with her laptop. Anna could not wait to use her new video game!"
"Milkshakes.  Jill wanted to make some milkshakes. She had to eat her lunch in the car to get to work. While she was at work, Jill had a phone call. The caller asked for directions to her house. Jill called in her lunch to make her milkshakes."
"Bad Haircut.  Jan was very nervous about going to the dance. She really wanted to impress everyone. Then, her hair cut started to show! But unfortunately, Jan had a terrible cut! She was ashamed and worried that she'd never look good again."
"The New Airplane.  Tom was excited for his upcoming trip to Vietnam. He had heard all about the upcoming visit and was looking forward to it. He bought a brand new airplane for the trip and boarded it. He was very excited about this opportunity. Tom was thrilled that he had found a great destination to visit."
"Bruised Knees.  A woman was working late one night. She had to hurry home from work. Her eyes were swollen. Her husband put some band-aid on them. They came out okay."
"Heavy Belly.  One day I woke up with a big belly. I didn't know what to do, and I decided to try a new activity. I got to work right away. I could not get up in time. I realized that I had to put on some weights."
"The STained Glass.  Kate decided to do a date with her boyfriend at a gas station. As they stood in line to get the gas, a bandana fell on her. Kate screamed and threw her phone at the car. Luckily, no one was hurt and Kate had no issues. Kate was happy she had done this."
"The pregnancy prank.  Amy was at the grocery store. She had just gotten her baby, and she wanted to get her pregnant son. Her daughter came to the checkout counter and asked for Amy's credit card. Amy's daughter had bought her a brand new phone, which Amy was excited about. Amy and her daughter were able to get the baby, and he was the sweetest little boy ever!"
"Special Treat.  Tom ordered a sandwich at the local sandwich shop. It was a very special sandwich. He had never had it before. He went to buy it before it went bad. He called the delivery person. They got the sandwich."
"A Ship Without Direction.  One day, a crew was coming down with an illness. A ship had drifted off course, and was going towards shore. The crew tried to navigate to the other side but it was too late. The ship crashed and the crew tried to return home. Luckily, they all survived."
"Bad decision.  Tom went to a store. He found a pack of cigarettes for sale. The salesman showed him his pack. He gave him a discount. Tom was happy."
"Unicorn.  I was walking around my neighborhood in January. There was a squirrel nearby. I noticed a horn in the ground. I called the exterminator. He came out with a large and deadly infestation."
"Egypt.  Aya got a job in a store to make money. One day she needed to earn money to get into college. So she found a great job there. After working at the store for three years, she earned enough to graduate. But she missed her dream job. Aya eventually quit and worked a full time job."
"Office job.  Amy needed a new desk. She had a hard time finding one that was perfect. One day, she found one that she liked. She decided to save up for a new desk. When she got it, Amy had the perfect desk."
"Wrong Number.  Tim was going to have his birthday. He had bought it last week. However, he got a weird number on it. He couldn't remember what it was. So Tim had to call him the next day to ask him why."
"Summer.  Mary bought a big glass of water to cool down. But she couldn't afford to buy more. When the kids went to the playground, they took a break. Mary and her friends went for a walk around the park. Mary and her friends decided to take a nap outside."
"Ants in the Keurig.  I moved into a new apartment complex last year. The building has a long history of pest control. One day an ant came through and knocked over the kitchen sink. It was harmless and I called a plumber. I brought the ant home in an hour."
"New Pet Toys.  My favorite dog was a poodle. We went to a breeder to pick up a dog. The owner got a poodle named Tic Tac. My poodle loved to sing. His friends and I couldn't believe it."
"Baby Girl.  I was in elementary school. I was about to graduate. My dad told me I was not allowed to play in a science fair. I had no way of making friends. I decided I would rather be alone."
"Party.  Kim and her family were having a party at a bar. All the girls were going on a date, so it was their first time. All the girls decided that they had a great time. Everyone had a great time. The girls became friends and everyone had a good time."
"Fear of Flight.  Tom was taking a flight from his hotel. He was having trouble getting through the security gate. He didn't know what to do since there was a buzz in the building. A security guard asked him what he was supposed to do? Tom started to run and didn't hear from him."
"Expensive Chocolate.  Kate wanted chocolate to share with her family. She made a batch of the chocolate and ate a few bites. She wasn't able to finish the rest of the batch. She was upset with the chocolate. However, her family liked the chocolate more."
"Forgetful Roll.  John was watching TV. Suddenly, he noticed a bad situation. He turned on his TV and watched a bad movie. The movie ended and he ran away. John went back to get his phone."
"A Second Job.  My brother in law recently decided to go to the barber shop. He was able to work without the barber having to wait. He worked very hard and had a great day at the barber shop. My brother in law was able to finally get a job. He now has a great wife and 2 kids."
"kittens.  Last week we went to a kennel with our three young kittens. Our kitten, Lulu, is in the back. Lulu is a baby black cat. We had our cats take care of Lulu. Lulu is now pregnant."
"Power Steering.  My friends and I decided to go to an auto parts store. The guy who made the sales asked if I needed help. I went into the shop and told him I was good with a few things. He told me to wait and get a good deal on his car. I went to the next store and got a deal on the car I needed to get."
"Getting The Pointe.  I got a nice new golf cart last week. I was supposed to pick it up in the morning. When I got there the cart was full of holes. I tried to practice how to golf correctly. I did not make the cut."
"Hot air balloon fire.  Today was a very hot day. There was a big fire in my building. I took cover in the attic. I put on my warm clothes. I jumped out of my bed and screamed."
"The Perfect Steak.  The family decided to go to a steakhouse for lunch. They went in to eat a steak. The family got distracted and ate their steak. They ended up with a great steak. It was the best steak ever."
"Trouble.  Bob was making pizza at his family's Thanksgiving party. The kids were being rude to everyone. Then Bob's son made a big mistake. He didn't ask for a cookie for his pizza. All of the kids in the house didn't like Bob's son."
"New Lipstick.  I got a new lipstick yesterday. I got some on the way to work. They came out uneven and I was really disappointed. I thought it was pretty pretty bad. I am going to have to buy a new one."
"Grouping.  I started to get the idea for a grouping online. My brother started with me because he loved grouping. My brother said if he gets a group he will be more organized. So we started with one friend. Now he's the manager of the whole group."
"Hot Summer Day.  Kate was enjoying the cold day. She was feeling very sleepy. She tried to stay awake. She turned on the television to let out a little yawn. Then she realized she had made a mistake."
"The Science Fair.  Jim got to see the science fair in town. He bought a ticket to see a large display of different kinds of technology. It was an interesting experience but the exhibits were not interesting. Jim enjoyed the whole thing. He decided he would take the whole thing with him again."
"Etsy Business.  I sold a lot of Etsy merchandise. Last week I did not have enough money to buy supplies. I decided to move to another Etsy site. I found a great deal at a small boutique. I ended up finding a great job there."
"New shirt.  Tom was trying to impress his girlfriend. He wanted to buy a new shirt. So he went to the mall. He found a very nice looking shirt. He purchased the shirt."
"Bad Traffic.  Tom was driving on the freeway. Suddenly, a car cut into his lane. It was going too fast. Tom's car ended up blocking the highway. It was so bad that Tom needed to pull over to have insurance."
"Help paying.  Tina was very poor. Her mother didn't care for her well enough. She didn't pay her bills. Tina was eventually forced to move back to school. Tina still doesn't know what to do with herself."
"Charles and the Rose.  Charles loved the roses. He loved the flowers like an angel. He would walk up to a tall rose and sing a hymn. He would then place the rose in a beautiful tree. He would then walk back up to his girlfriend's rose and sing it. Charles felt loved for his rose and rose sang."
"Broken ipod.  I was playing a video game at home. All of a sudden the ipod went off. I realized it was broken. My internet was dead. I immediately called customer service."
"Gas Money.  My friend asked if we can drive his car up a hill. I was going too fast to get a gas tank so I decided to drive his car up the hill. My friend wasn't in front of me so he was stuck in the lane. He decided he would drive up the hill and I wasn't safe. I ended up getting stuck there, because I didn't make it to the gas station."
"Shot Put.  Last week I had my first shooting try. It was for a shot put. I put the ball into the goal. I gave my goalie a bad look. She laughed and threw the ball back."
"Ice cream.  Tina was planning a wedding for her friends. She wanted to make a chocolate ice cream cone. She thought it looked great! But it was not enough. Tina decided to have a chocolate sundae instead."
"Stuck Kite.  One day Ben was hiking in the desert. Suddenly, Ben ran out of gas. When Ben tried to get back on the trail, the ground caught his kite. His kite flew away. He was stuck on the ground for over an hour."
